Name,Date,Close
Quant Active Fund Gr,30-12-2020,266.9707
Quant Active Fund Gr,29-12-2020,266.9523
Quant Active Fund Gr,28-12-2020,266.6917
Quant Active Fund Gr,24-12-2020,261.8348
Quant Active Fund Gr,23-12-2020,259.3963
Quant Active Fund Gr,22-12-2020,254.541
Quant Active Fund Gr,21-12-2020,249.4803
Quant Active Fund Gr,18-12-2020,260.2399
Quant Active Fund Gr,17-12-2020,257.9854
Quant Active Fund Gr,16-12-2020,257.4573
Quant Active Fund Gr,15-12-2020,255.9683
Quant Active Fund Gr,14-12-2020,256.0395
Quant Active Fund Gr,11-12-2020,255.3039
Quant Active Fund Gr,10-12-2020,255.3449
Quant Active Fund Gr,09-12-2020,255.7038
Quant Active Fund Gr,08-12-2020,255.5293
Quant Active Fund Gr,07-12-2020,255.3987
Quant Active Fund Gr,04-12-2020,249.7704
Quant Active Fund Gr,03-12-2020,248.2805
Quant Active Fund Gr,02-12-2020,246.5428
Quant Active Fund Gr,01-12-2020,243.9554
Quant Active Fund Gr,27-11-2020,239.6826
Quant Active Fund Gr,26-11-2020,238.1662
Quant Active Fund Gr,25-11-2020,236.4747
Quant Active Fund Gr,24-11-2020,238.3562
Quant Active Fund Gr,23-11-2020,235.8184
Quant Active Fund Gr,20-11-2020,233.9565
Quant Active Fund Gr,19-11-2020,233.1739
Quant Active Fund Gr,18-11-2020,234.465
Quant Active Fund Gr,17-11-2020,233.717
Quant Active Fund Gr,13-11-2020,231.2546
Quant Active Fund Gr,12-11-2020,230.5141
Quant Active Fund Gr,11-11-2020,228.6595
Quant Active Fund Gr,10-11-2020,226.5526
Quant Active Fund Gr,09-11-2020,229.6997
Quant Active Fund Gr,06-11-2020,228.3312
Quant Active Fund Gr,05-11-2020,228.6516
Quant Active Fund Gr,04-11-2020,225.3305
Quant Active Fund Gr,03-11-2020,224.7543
Quant Active Fund Gr,02-11-2020,224.6487
Quant Active Fund Gr,30-10-2020,224.7245
Quant Active Fund Gr,29-10-2020,224.446
Quant Active Fund Gr,28-10-2020,224.7307
Quant Active Fund Gr,27-10-2020,224.803
Quant Active Fund Gr,26-10-2020,224.7117
Quant Active Fund Gr,23-10-2020,225.2746
Quant Active Fund Gr,22-10-2020,222.733
Quant Active Fund Gr,21-10-2020,222.3191
Quant Active Fund Gr,20-10-2020,222.3744
Quant Active Fund Gr,19-10-2020,221.1567
Quant Active Fund Gr,16-10-2020,219.1125
Quant Active Fund Gr,15-10-2020,218.0889
Quant Active Fund Gr,14-10-2020,223.3118
Quant Active Fund Gr,13-10-2020,224.395
Quant Active Fund Gr,12-10-2020,224.4114
Quant Active Fund Gr,09-10-2020,225.7289
Quant Active Fund Gr,08-10-2020,226.7612
Quant Active Fund Gr,07-10-2020,225.6719
Quant Active Fund Gr,06-10-2020,226.5881
Quant Active Fund Gr,05-10-2020,224.9231
Quant Active Fund Gr,01-10-2020,224.3899
Quant Active Fund Gr,30-09-2020,222.9988
Quant Active Fund Gr,29-09-2020,223.0837
Quant Active Fund Gr,28-09-2020,223.9133
Quant Active Fund Gr,25-09-2020,219.0889
Quant Active Fund Gr,24-09-2020,213.7726
Quant Active Fund Gr,23-09-2020,218.8701
Quant Active Fund Gr,22-09-2020,218.684
Quant Active Fund Gr,21-09-2020,220.8832
Quant Active Fund Gr,18-09-2020,230.4466
Quant Active Fund Gr,17-09-2020,228.66
Quant Active Fund Gr,16-09-2020,227.795
Quant Active Fund Gr,15-09-2020,224.0264
Quant Active Fund Gr,14-09-2020,222.0628
Quant Active Fund Gr,11-09-2020,219.3019
Quant Active Fund Gr,10-09-2020,215.8125
Quant Active Fund Gr,09-09-2020,211.9275
Quant Active Fund Gr,08-09-2020,214.4268
Quant Active Fund Gr,07-09-2020,216.5634
Quant Active Fund Gr,04-09-2020,216.3076
Quant Active Fund Gr,03-09-2020,220.3677
Quant Active Fund Gr,02-09-2020,220.4013
