Date,Close,Nifty50
02-18-2019,164.1053,10724.4
02-15-2019,165.2388,10746.05
02-14-2019,166.9622,10793.65
02-13-2019,166.4927,10831.4
02-12-2019,168.5145,10888.8
02-11-2019,169.152,10943.6
02-08-2019,171.5523,11069.4
02-07-2019,173.9643,11062.45
02-06-2019,172.7283,10934.35
02-05-2019,171.3545,10912.25
02-04-2019,172.4602,10893.65
02-01-2019,173.7729,10830.95
01-31-2019,174.7303,10651.8
01-30-2019,173.258,10652.2
01-29-2019,171.0762,10661.55
01-28-2019,169.4688,10780.55
01-25-2019,172.8335,10849.8
01-24-2019,174.6452,10831.5
01-23-2019,174.5433,10922.75
01-22-2019,176.2037,10961.85
01-21-2019,176.0536,10906.95
01-18-2019,177.2786,10905.2
01-17-2019,179.442,10890.3
01-16-2019,180.6476,10886.8
01-15-2019,180.7718,10737.6
01-14-2019,180.3954,10794.95
01-11-2019,181.4391,10821.6
01-10-2019,181.8753,10855.15
01-09-2019,181.8109,10802.15
01-08-2019,181.0697,10771.8
01-07-2019,178.7176,10727.35
01-04-2019,178.651,10672.25
01-03-2019,176.662,10792.5
01-02-2019,178.0014,10910.1
01-01-2019,179.5767,10862.55
12-31-2018,178.729,10859.9
12-28-2018,178.5029,10779.8
12-27-2018,176.2863,10729.85
12-26-2018,176.1948,10663.5
12-24-2018,175.244,10754
12-21-2018,176.2978,10951.7
12-20-2018,178.8707,10967.3
12-19-2018,179.813,10908.7
12-18-2018,177.0214,10888.35
12-17-2018,176.1601,10805.45
12-14-2018,175.5546,10791.55
12-13-2018,175.4617,10737.6
12-12-2018,174.5268,10549.15
12-11-2018,170.8258,10488.45
12-10-2018,168.2177,10693.7
12-07-2018,171.5366,10601.15
12-06-2018,170.8337,10782.9
12-05-2018,173.8357,10869.5
12-04-2018,176.553,10883.75
12-03-2018,177.7183,10876.75
11-30-2018,178.2206,10858.7
11-29-2018,177.396,10728.85
11-28-2018,175.395,10685.6
11-27-2018,175.7052,10628.6
11-26-2018,175.7258,10526.75
11-22-2018,174.4219,10600.05
11-21-2018,176.2931,10656.2
11-20-2018,175.4235,10763.4
11-19-2018,177.7956,10682.2
11-16-2018,176.8672,10616.7
11-15-2018,176.5592,10576.3
11-14-2018,175.4947,10582.5
11-13-2018,174.9094,10482.2
11-12-2018,173.9941,10585.2
11-09-2018,175.5128,10598.4
11-06-2018,173.2977,10530
11-05-2018,174.1751,10524
11-02-2018,174.0812,10553
11-01-2018,172.1523,10380.45
10-31-2018,171.9656,10386.6
10-30-2018,169.0927,10198.4
10-29-2018,168.8176,10250.85
10-26-2018,164.117,10030
10-25-2018,164.9242,10124.9
10-24-2018,166.9747,10224.75
10-23-2018,166.749,10146.8
10-22-2018,168.2165,10245.25
10-19-2018,168.785,10303.55
10-17-2018,170.6673,10453.05
10-16-2018,172.4629,10584.75
10-15-2018,171.2844,10512.5
10-12-2018,169.7016,10472.5
10-11-2018,167.3293,10234.65
10-10-2018,170.224,10460.1
10-09-2018,167.835,10301.05
10-08-2018,167.6906,10348.05
10-05-2018,168.7231,10316.45
10-04-2018,172.2798,10599.25
10-03-2018,175.6866,10858.25
10-01-2018,176.397,11008.3
09-28-2018,175.6981,10930.45
09-27-2018,177.3858,10977.55
09-26-2018,179.3753,11053.8
09-25-2018,178.6857,11067.45
09-24-2018,176.5353,10967.4
09-21-2018,180.1084,11143.1
09-19-2018,182.666,11234.35
09-18-2018,183.2436,11278.9
09-17-2018,185.1939,11377.75
09-14-2018,187.1147,11515.2
09-12-2018,184.8291,11369.9
09-11-2018,183.774,11287.5
